UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2021-ORVAD-000167,0.25,Class A,2021-08-20T16:47:00Z,646.9666666666667,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR712S-020922,0.03,Class A,2021-08-07T19:09:00Z,329.65,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021277,0.02,Class A,2021-08-03T17:57:00Z,112.05833333333334,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021279,158.53,Class D,2021-10-13T15:30:00Z,1796.3166666666666,Type 5 Incident,5,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021299,0.05,Class A,2021-08-04T17:07:00Z,38.5625,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210391,84.38,Class C,2021-10-22T00:00:00Z,1851.9,Type 1 Incident,1,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210394,75.3,Class C,NA,NA,Type 1 Incident,1,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORROD-000488,117.3815,Class D,2021-10-31T19:00:00Z,2178,Type 1 Incident,1,WF,0,2021,NA,NA,FALSE,TRUE
2015-ORWIF-000171,0,Class A,2015-07-13T23:47:00Z,95.30833333333334,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2022-ORRSF-000057,0.1,Class A,2022-06-06T20:31:00Z,1.5166666666666666,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022091,0.08,Class A,2022-07-01T17:04:00Z,39.21,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000073,1.9,Class B,2022-08-01T18:00:00Z,684.9166666666666,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000296,0.1,Class A,2022-07-04T23:29:00Z,46.56666666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000307,0.1,Class A,2022-07-05T21:29:00Z,53.78333333333333,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000072,0.01,Class A,2022-08-28T19:10:00Z,1335.55,NA,NA,WF,NA,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000341,0.01,Class A,2022-07-15T17:25:00Z,166.71666666666667,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORBENN-000436,1.4,Class B,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022124,0.36,Class B,2022-08-04T18:04:00Z,140.48833333333334,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORRFPN-002294,2.34,Class B,2022-08-05T19:00:00Z,145.8047222222222,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR981S-220191,50.95,Class C,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORUPF-000234,1006.9077,Class F,2023-02-01T18:00:00Z,4458.716666666666,Type 3 Incident,3,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000491,2.95,Class B,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
