UNQE_FIRE_,Calculated.Acres,Containment.Date.Time,Control.Date.Time,Fire.Mgmt.Complexity,FireOutDateTime,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
1993-ORUMA-000011,0.1,NA,1993-08-04,NA,1993-08-06,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000012,0.1,NA,1993-08-04,NA,1993-08-06,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000014,0.1,NA,1993-08-07,NA,1993-08-08,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000017,0.2,NA,1993-08-14,NA,1993-08-16,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000018,0.1,NA,1993-08-19,NA,1993-08-20,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000019,2,NA,1993-08-26,NA,1993-08-28,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000022,60.1,NA,1993-09-05,NA,1993-09-05,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000023,0.1,NA,1993-09-09,NA,1993-09-10,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000024,0.1,NA,1993-09-19,NA,1993-09-20,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000026,0.5,NA,1993-09-28,NA,1993-10-01,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000027,0.1,NA,1993-10-16,NA,1993-10-16,WF,0,1993,NA,NA,FALSE,TRUE
1994-ORUMA-000003,0.5,NA,1994-05-24,NA,1994-05-26,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000004,0.1,NA,1994-06-27,NA,1994-06-29,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000006,0.1,NA,1994-07-14,NA,1994-07-15,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000007,0.1,NA,1994-07-17,NA,1994-07-19,WF,0,1994,NA,NA,FALSE,TRUE
1994-ORUMA-000008,0.3,NA,1994-07-20,NA,1994-07-22,WF,0,1994,NA,NA,FALSE,TRUE
