geometry,index,is_indigenous,n_fires_mp,n_fires_pt,n_fires_tot,fire_lst,fire_lstmp,max_acresmp,min_mgmtmp,max_durationmp,fire_lstpt,max_acrespt,min_mgmtpt,max_durationpt,max_acres_tribal,max_acres,min_mgmt,max_duration,max_size_class,n_rx_mp,n_rx_pt,n_rx_tot,rx_lst,rx_lstmp,rx_max_acresmp,rx_min_mgmtmp,rx_max_durationmp,rx_lstpt,rx_max_acrespt,rx_min_mgmtpt,rx_max_durationpt,rx_max_acres_tribal,rx_max_acres,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_quercus,n_xerophyllum,n_thuja,n_populus,n_rubus,n_pinus,n_salix,plant_sum,hist_pinus,hist_salix,hist_quercus,hist_populus,hist_thuja,sum_pinus,sum_salix,sum_quercus,sum_populus,sum_thuja,total_plant_sum
"list(c(-123.299361709882, -123.239075314868, -123.256494828437, -123.316819193118, -123.299361709882, 43.6516995136522, 43.6644530243637, 43.7071306448371, 43.6943655396036, 43.6516995136522))",5864,0,0,2,2,"2025-ORROD-731284, 2025-OR731S-000030",NA,0,NA,0,"2025-ORROD-731284, 2025-OR731S-000030",0.35,NA,NA,0,0.35,Inf,NA,Class B,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"list(c(-123.239075314868, -123.178767006158, -123.196148483105, -123.256494828437, -123.239075314868, 43.6644530243637, 43.6771745789446, 43.7198637712368, 43.7071306448371, 43.6644530243637))",5865,0,0,1,1,2016-ORROD-201610,NA,0,NA,0,2016-ORROD-201610,0.1,NA,250.6663888888889,0,0.1,Inf,250.6663888888889,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"list(c(-123.178767006158, -123.118436818288, -123.135780191724, -123.196148483105, -123.178767006158, 43.6771745789446, 43.6898641577179, 43.7325648990656, 43.7198637712368, 43.6771745789446))",5866,0,0,1,1,2023-OR731S-000454,NA,0,NA,0,2023-OR731S-000454,0.75,NA,NA,0,0.75,Inf,NA,Class B,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.118436818288, -123.05808478596, -123.075389989063, -123.135780191724, -123.118436818288, 43.6898641577179, 43.7025217410319, 43.745234008611, 43.7325648990656, 43.6898641577179))",5867,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.05808478596, -122.997710944045, -123.014977910059, -123.075389989063, -123.05808478596, 43.7025217410319, 43.7151473092595, 43.757871080186, 43.745234008611, 43.7025217410319))",5868,0,0,1,1,2024-ORNOD-771040,NA,0,NA,0,2024-ORNOD-771040,0.01,NA,NA,0,0.01,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-122.997710944045, -122.93731532758, -122.954543989817, -123.014977910059, -122.997710944045, 43.7151473092595, 43.727740842799, 43.7704760941284, 43.757871080186, 43.7151473092595))",5869,0,0,1,1,2021-ORNOD-210204,NA,0,NA,0,2021-ORNOD-210204,0.2,NA,3.5,0,0.2,Inf,3.5,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
"list(c(-122.93731532758, -122.876897971769, -122.89408826361, -122.954543989817, -122.93731532758, 43.727740842799, 43.7403023220742, 43.7830490308016, 43.7704760941284, 43.727740842799))",5870,0,0,2,2,"2023-ORNOD-230470, 2025-OR771S-000068",NA,0,NA,0,"2023-ORNOD-230470, 2025-OR771S-000068",1.8,NA,3.933333333333333,0,1.8,Inf,3.933333333333333,Class B,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2
"list(c(-122.876897971769, -122.816458911984, -122.833610766878, -122.89408826361, -122.876897971769, 43.7403023220742, 43.7528317275343, 43.7955898705945, 43.7830490308016, 43.7403023220742))",5871,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-122.816458911984, -122.755998183762, -122.773111535229, -122.833610766878, -122.816458911984, 43.7528317275343, 43.7653290396541, 43.808098593922, 43.7955898705945, 43.7528317275343))",5872,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-122.755998183762, -122.695515822808, -122.712590604438, -122.773111535229, -122.755998183762, 43.7653290396541, 43.7777942389346, 43.8205751812247, 43.808098593922, 43.7653290396541))",5873,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,2,10,2,0,0,0,0,14,0,0,0,0,0,0,0,2,0,2,14
