geometry,index,is_indigenous,n_wildfires,wf_uids,max_acres,max_acres_tribal,min_mgmt,max_duration,max_size_class,n_rx_fires,rx_uids,rx_max_acres,rx_max_acres_tribal,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_pinus,n_salix,n_quercus,n_populus,n_thuja,n_xerophyllum,n_rubus,plant_sum
"list(c(-122.102441002613, -122.052441002613, -122.052441002613, -122.102441002613, -122.102441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",45,0,4,"2021-ORLAD-210460, 2016-ORLAD-000322, 2025-OR981S-250456, 2025-OR981S-250458",100.07,0,NA,839,Class D,0,NA,0,0,NA,0,Class A,1,0,2,0,0,0,0,3
"list(c(-122.052441002613, -122.002441002613, -122.002441002613, -122.052441002613, -122.052441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",46,0,1,2025-ORLAD-250297,0.2,0,NA,262.4325,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.002441002613, -121.952441002613, -121.952441002613, -122.002441002613, -122.002441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",47,0,4,"2019-ORLAD-000376, 2020-OR981S-200191, 2025-OR981S-250298, 2025-ORLAD-250604",2.61,0,NA,247.4,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-121.952441002613, -121.902441002613, -121.902441002613, -121.952441002613, -121.952441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",48,0,2,"2018-ORBVR-L0KW, 2025-ORLAD-250602",0.1,0,NA,228,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-121.902441002613, -121.852441002613, -121.852441002613, -121.902441002613, -121.902441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",49,0,1,2024-OR981S-240369,0.1,0,NA,0.239166666666667,Class A,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-121.852441002613, -121.802441002613, -121.802441002613, -121.852441002613, -121.852441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",50,0,1,2019-CALKR-MPB7,2,0,NA,393.5,Class B,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-121.802441002613, -121.752441002613, -121.752441002613, -121.802441002613, -121.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",51,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-121.752441002613, -121.702441002613, -121.702441002613, -121.752441002613, -121.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",52,0,2,"2015-CALKR-JN3V, 2020-CALKR-001817",0.25,0,NA,2.5,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-121.702441002613, -121.652441002613, -121.652441002613, -121.702441002613, -121.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",53,0,2,"2025-OR981S-250315, 2025-OR981S-250581",48.42,0,NA,264.614166666667,Class C,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-121.652441002613, -121.602441002613, -121.602441002613, -121.652441002613, -121.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",54,0,2,"2021-OR981S-210340, 2022-OR981S-220159",2.7,0,NA,NA,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
